"FullName","Id","Family"
"Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","windowsGuest"
"Microsoft Windows Server 2012 (64-bit)","windows8Server64Guest","windowsGuest"
"Microsoft Windows Server 2008 R2 (64-bit)","windows7Server64Guest","windowsGuest"
"Microsoft Windows Server 2008 (64-bit)","winLonghorn64Guest","windowsGuest"
"Microsoft Windows Server 2008 (32-bit)","winLonghornGuest","windowsGuest"
"Microsoft Windows Server 2003 (64-bit)","winNetEnterprise64Guest","windowsGuest"
"Microsoft Windows Server 2003 (32-bit)","winNetEnterpriseGuest","windowsGuest"
"Microsoft Windows Server 2003 Datacenter (64-bit)","winNetDatacenter64Guest","windowsGuest"
"Microsoft Windows Server 2003 Datacenter (32-bit)","winNetDatacenterGuest","windowsGuest"
"Microsoft Windows Server 2003 Standard (64-bit)","winNetStandard64Guest","windowsGuest"
"Microsoft Windows Server 2003 Standard (32-bit)","winNetStandardGuest","windowsGuest"
"Microsoft Windows Server 2003 Web Edition (32-bit)","winNetWebGuest","windowsGuest"
"Microsoft Small Business Server 2003","winNetBusinessGuest","windowsGuest"
"Microsoft Windows 10 (64-bit)","windows9_64Guest","windowsGuest"
"Microsoft Windows 10 (32-bit)","windows9Guest","windowsGuest"
"Microsoft Windows 8 (64-bit)","windows8_64Guest","windowsGuest"
"Microsoft Windows 8 (32-bit)","windows8Guest","windowsGuest"
"Microsoft Windows 7 (64-bit)","windows7_64Guest","windowsGuest"
"Microsoft Windows 7 (32-bit)","windows7Guest","windowsGuest"
"Microsoft Windows Vista (64-bit)","winVista64Guest","windowsGuest"
"Microsoft Windows Vista (32-bit)","winVistaGuest","windowsGuest"
"Microsoft Windows XP Professional (64-bit)","winXPPro64Guest","windowsGuest"
"Microsoft Windows XP Professional (32-bit)","winXPProGuest","windowsGuest"
"Microsoft Windows 2000","win2000AdvServGuest","windowsGuest"
"Microsoft Windows 2000 Server","win2000ServGuest","windowsGuest"
"Microsoft Windows 2000 Professional","win2000ProGuest","windowsGuest"
"Microsoft Windows NT","winNTGuest","windowsGuest"
"Microsoft Windows 98","win98Guest","windowsGuest"
"Microsoft Windows 95","win95Guest","windowsGuest"
"Microsoft Windows 3.1","win31Guest","windowsGuest"
"Microsoft MS-DOS","dosGuest","windowsGuest"
"Red Hat Enterprise Linux 7 (64-bit)","rhel7_64Guest","linuxGuest"
"Red Hat Enterprise Linux 6 (64-bit)","rhel6_64Guest","linuxGuest"
"Red Hat Enterprise Linux 6 (32-bit)","rhel6Guest","linuxGuest"
"Red Hat Enterprise Linux 5 (64-bit)","rhel5_64Guest","linuxGuest"
"Red Hat Enterprise Linux 5 (32-bit)","rhel5Guest","linuxGuest"
"Red Hat Enterprise Linux 4 (64-bit)","rhel4_64Guest","linuxGuest"
"Red Hat Enterprise Linux 4 (32-bit)","rhel4Guest","linuxGuest"
"Red Hat Enterprise Linux 3 (64-bit)","rhel3_64Guest","linuxGuest"
"Red Hat Enterprise Linux 3 (32-bit)","rhel3Guest","linuxGuest"
"Red Hat Enterprise Linux 2.1","rhel2Guest","linuxGuest"
"SUSE Linux Enterprise 12 (64-bit)","sles12_64Guest","linuxGuest"
"SUSE Linux Enterprise 11 (64-bit)","sles11_64Guest","linuxGuest"
"SUSE Linux Enterprise 11 (32-bit)","sles11Guest","linuxGuest"
"SUSE Linux Enterprise 10 (64-bit)","sles10_64Guest","linuxGuest"
"SUSE Linux Enterprise 10 (32-bit)","sles10Guest","linuxGuest"
"SUSE Linux Enterprise 8/9 (64-bit)","sles64Guest","linuxGuest"
"SUSE Linux Enterprise 8/9 (32-bit)","slesGuest","linuxGuest"
"CentOS 4/5/6/7 (64-bit)","centos64Guest","linuxGuest"
"CentOS 4/5/6 (32-bit)","centosGuest","linuxGuest"
"Debian GNU/Linux 8 (64-bit)","debian8_64Guest","linuxGuest"
"Debian GNU/Linux 8 (32-bit)","debian8Guest","linuxGuest"
"Debian GNU/Linux 7 (64-bit)","debian7_64Guest","linuxGuest"
"Debian GNU/Linux 7 (32-bit)","debian7Guest","linuxGuest"
"Debian GNU/Linux 6 (64-bit)","debian6_64Guest","linuxGuest"
"Debian GNU/Linux 6 (32-bit)","debian6Guest","linuxGuest"
"Debian GNU/Linux 5 (64-bit)","debian5_64Guest","linuxGuest"
"Debian GNU/Linux 5 (32-bit)","debian5Guest","linuxGuest"
"Debian GNU/Linux 4 (64-bit)","debian4_64Guest","linuxGuest"
"Debian GNU/Linux 4 (32-bit)","debian4Guest","linuxGuest"
"SUSE openSUSE (64-bit)","opensuse64Guest","linuxGuest"
"SUSE openSUSE (32-bit)","opensuseGuest","linuxGuest"
"Asianux 5 (64-bit)","asianux5_64Guest","linuxGuest"
"Asianux 4 (64-bit)","asianux4_64Guest","linuxGuest"
"Asianux 4 (32-bit)","asianux4Guest","linuxGuest"
"Asianux 3 (64-bit)","asianux3_64Guest","linuxGuest"
"Asianux 3 (32-bit)","asianux3Guest","linuxGuest"
"Red Hat Fedora (64-bit)","fedora64Guest","linuxGuest"
"Red Hat Fedora (32-bit)","fedoraGuest","linuxGuest"
"Novell Open Enterprise Server","oesGuest","linuxGuest"
"Oracle Linux 4/5/6/7 (64-bit)","oracleLinux64Guest","linuxGuest"
"Oracle Linux 4/5/6 (32-bit)","oracleLinuxGuest","linuxGuest"
"Ubuntu Linux (64-bit)","ubuntu64Guest","linuxGuest"
"Ubuntu Linux (32-bit)","ubuntuGuest","linuxGuest"
"CoreOS Linux (64-bit)","coreos64Guest","linuxGuest"
"Other 3.x or later Linux (64-bit)","other3xLinux64Guest","linuxGuest"
"Other 3.x or later Linux (32-bit)","other3xLinuxGuest","linuxGuest"
"Other 2.6.x Linux (64-bit)","other26xLinux64Guest","linuxGuest"
"Other 2.6.x Linux (32-bit)","other26xLinuxGuest","linuxGuest"
"Other 2.4.x Linux (64-bit)","other24xLinux64Guest","linuxGuest"
"Other 2.4.x Linux (32-bit)","other24xLinuxGuest","linuxGuest"
"Other Linux (64-bit)","otherLinux64Guest","linuxGuest"
"Other Linux (32-bit)","otherLinuxGuest","linuxGuest"
"Apple Mac OS X 10.10 (64-bit)","darwin14_64Guest","darwinGuestFamily"
"Apple Mac OS X 10.9 (64-bit)","darwin13_64Guest","darwinGuestFamily"
"Apple Mac OS X 10.8 (64-bit)","darwin12_64Guest","darwinGuestFamily"
"Apple Mac OS X 10.7 (64-bit)","darwin11_64Guest","darwinGuestFamily"
"Apple Mac OS X 10.7 (32-bit)","darwin11Guest","darwinGuestFamily"
"Apple Mac OS X 10.6 (64-bit)","darwin10_64Guest","darwinGuestFamily"
"Apple Mac OS X 10.6 (32-bit)","darwin10Guest","darwinGuestFamily"
"Apple Mac OS X 10.5 (64-bit)","darwin64Guest","darwinGuestFamily"
"Apple Mac OS X 10.5 (32-bit)","darwinGuest","darwinGuestFamily"
"FreeBSD (64-bit)","freebsd64Guest","otherGuestFamily"
"FreeBSD (32-bit)","freebsdGuest","otherGuestFamily"
"IBM OS/2","os2Guest","otherGuestFamily"
"Novell NetWare 6.x","netware6Guest","netwareGuest"
"Novell NetWare 5.1","netware5Guest","netwareGuest"
"Oracle Solaris 11 (64-bit)","solaris11_64Guest","solarisGuest"
"Oracle Solaris 10 (64-bit)","solaris10_64Guest","solarisGuest"
"Oracle Solaris 10 (32-bit)","solaris10Guest","solarisGuest"
"Sun Microsystems Solaris 9","solaris9Guest","solarisGuest"
"Sun Microsystems Solaris 8","solaris8Guest","solarisGuest"
"SCO OpenServer 6","openServer6Guest","otherGuestFamily"
"SCO OpenServer 5","openServer5Guest","otherGuestFamily"
"SCO UnixWare 7","unixWare7Guest","otherGuestFamily"
"Serenity Systems eComStation 2","eComStation2Guest","otherGuestFamily"
"Serenity Systems eComStation 1","eComStationGuest","otherGuestFamily"
"Other (64-bit)","otherGuest64","otherGuestFamily"
"Other (32-bit)","otherGuest","otherGuestFamily"
"VMware ESXi 6.5","vmkernel65Guest","otherGuestFamily"
"VMware ESXi 6.0","vmkernel6Guest","otherGuestFamily"
"VMware ESXi 5.x","vmkernel5Guest","otherGuestFamily"
"VMware ESX 4.x","vmkernelGuest","otherGuestFamily"
